Movie,Genre,Duration,Year,Imdb_rating,Metascore_rating,Votes
Finding Dory,"Animation, Adventure, Comedy  ",97,2016,73,77,247599
Nocturnal Animals,"Drama, Thriller  ",116,2016,75,67,246724
Sully,"Biography, Drama  ",96,2016,74,74,245859
Warcraft,"Action, Adventure, Fantasy  ",123,2016,68,32,245468
The Conjuring 2,"Horror, Mystery, Thriller  ",134,2016,73,65,235884
Star Trek Beyond,"Action, Adventure, Sci-Fi  ",122,2016,70,68,232572
Don't Breathe,"Crime, Horror, Thriller  ",88,2016,71,71,230979
Lion,"Biography, Drama  ",118,2016,80,69,220355
Me Before You,"Drama, Romance  ",106,2016,74,51,216605
Jason Bourne,"Action, Thriller  ",123,2016,66,58,212216
Your Name.,"Animation, Drama, Fantasy  ",106,2016,84,79,211253
Hell or High Water,"Action, Crime, Drama  ",102,2016,76,88,209526
Ghostbusters,"Action, Comedy, Fantasy  ",117,2016,66,60,208111
Hidden Figures,"Biography, Drama, History  ",127,2016,78,74,207348
Captain Fantastic,"Comedy, Drama  ",118,2016,79,72,198695
Assassin's Creed,"Action, Adventure, Sci-Fi  ",115,2016,57,36,188939
The Magnificent Seven,"Action, Adventure, Western  ",132,2016,69,54,188873
The Secret Life of Pets,"Animation, Adventure, Comedy  ",87,2016,65,61,186614
War Dogs,"Biography, Comedy, Crime  ",114,2016,71,57,186427
Sausage Party,"Animation, Adventure, Comedy  ",89,2016,61,66,180040
Train to Busan,"Action, Horror, Thriller  ",118,2016,76,72,177248
The Girl on the Train,"Crime, Drama, Mystery  ",112,2016,65,48,174474
The Promise,"Action, Adventure, Drama  ",133,2016,64,49,173809
Independence Day: Resurgence,"Action, Adventure, Sci-Fi  ",120,2016,52,32,169514
Deadpool,"Action, Adventure, Comedy  ",108,2016,80,65,925776
Captain America: Civil War,"Action, Adventure, Sci-Fi  ",147,2016,78,75,687977
Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi  ",152,2016,64,44,652404
Doctor Strange,"Action, Adventure, Fantasy  ",115,2016,75,72,621442
Suicide Squad,"Action, Adventure, Fantasy  ",123,2016,59,40,621203
Arrival,"Drama, Sci-Fi  ",116,2016,79,81,615462
Rogue One: A Star Wars Story,"Action, Adventure, Sci-Fi  ",133,2016,78,65,569311
La La Land,"Comedy, Drama, Music  ",128,2016,80,94,522750
Hacksaw Ridge,"Biography, Drama, History  ",139,2016,81,71,453190
Zootopia,"Animation, Adventure, Comedy  ",108,2016,80,78,446353
Split,"Horror, Thriller  ",117,2016,73,62,441402
Fantastic Beasts and Where to Find Them,"Adventure, Family, Fantasy  ",132,2016,73,66,419996
X-Men: Apocalypse,"Action, Adventure, Sci-Fi  ",144,2016,69,52,402300
Passengers,"Drama, Romance, Sci-Fi  ",116,2016,70,41,360891
10 Cloverfield Lane,"Action, Drama, Horror  ",103,2016,72,76,297775
The Nice Guys,"Action, Comedy, Crime  ",116,2016,74,70,291209
Moana,"Animation, Adventure, Comedy  ",107,2016,76,81,284491
Moonlight,Drama  ,111,2016,74,99,282455
The Accountant,"Action, Crime, Drama  ",128,2016,73,51,268755
The Jungle Book,"Adventure, Drama, Family  ",106,2016,74,77,262666
Now You See Me 2,"Action, Adventure, Comedy  ",129,2016,65,46,257312
Manchester by the Sea,Drama  ,137,2016,78,96,255198
Finding Dory,"Animation, Adventure, Comedy  ",97,2016,73,77,247599
Nocturnal Animals,"Drama, Thriller  ",116,2016,75,67,246724
Sully,"Biography, Drama  ",96,2016,74,74,245859
Warcraft,"Action, Adventure, Fantasy  ",123,2016,68,32,245468
The Conjuring 2,"Horror, Mystery, Thriller  ",134,2016,73,65,235884
Star Trek Beyond,"Action, Adventure, Sci-Fi  ",122,2016,70,68,232572
Don't Breathe,"Crime, Horror, Thriller  ",88,2016,71,71,230979
Lion,"Biography, Drama  ",118,2016,80,69,220355
Me Before You,"Drama, Romance  ",106,2016,74,51,216605
Jason Bourne,"Action, Thriller  ",123,2016,66,58,212216
Your Name.,"Animation, Drama, Fantasy  ",106,2016,84,79,211253
Hell or High Water,"Action, Crime, Drama  ",102,2016,76,88,209526
Ghostbusters,"Action, Comedy, Fantasy  ",117,2016,66,60,208111
Hidden Figures,"Biography, Drama, History  ",127,2016,78,74,207348
Captain Fantastic,"Comedy, Drama  ",118,2016,79,72,198695
Assassin's Creed,"Action, Adventure, Sci-Fi  ",115,2016,57,36,188939
The Magnificent Seven,"Action, Adventure, Western  ",132,2016,69,54,188873
The Secret Life of Pets,"Animation, Adventure, Comedy  ",87,2016,65,61,186614
War Dogs,"Biography, Comedy, Crime  ",114,2016,71,57,186427
Sausage Party,"Animation, Adventure, Comedy  ",89,2016,61,66,180040
Train to Busan,"Action, Horror, Thriller  ",118,2016,76,72,177248
The Girl on the Train,"Crime, Drama, Mystery  ",112,2016,65,48,174474
The Promise,"Action, Adventure, Drama  ",133,2016,64,49,173809
Independence Day: Resurgence,"Action, Adventure, Sci-Fi  ",120,2016,52,32,169514
Deadpool,"Action, Adventure, Comedy  ",108,2016,80,65,925776
Captain America: Civil War,"Action, Adventure, Sci-Fi  ",147,2016,78,75,687977
Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi  ",152,2016,64,44,652404
Doctor Strange,"Action, Adventure, Fantasy  ",115,2016,75,72,621442
Suicide Squad,"Action, Adventure, Fantasy  ",123,2016,59,40,621203
Arrival,"Drama, Sci-Fi  ",116,2016,79,81,615462
Rogue One: A Star Wars Story,"Action, Adventure, Sci-Fi  ",133,2016,78,65,569311
La La Land,"Comedy, Drama, Music  ",128,2016,80,94,522750
Hacksaw Ridge,"Biography, Drama, History  ",139,2016,81,71,453190
Zootopia,"Animation, Adventure, Comedy  ",108,2016,80,78,446353
Split,"Horror, Thriller  ",117,2016,73,62,441402
Fantastic Beasts and Where to Find Them,"Adventure, Family, Fantasy  ",132,2016,73,66,419996
X-Men: Apocalypse,"Action, Adventure, Sci-Fi  ",144,2016,69,52,402300
Passengers,"Drama, Romance, Sci-Fi  ",116,2016,70,41,360891
10 Cloverfield Lane,"Action, Drama, Horror  ",103,2016,72,76,297775
The Nice Guys,"Action, Comedy, Crime  ",116,2016,74,70,291209
Moana,"Animation, Adventure, Comedy  ",107,2016,76,81,284491
Moonlight,Drama  ,111,2016,74,99,282455
The Accountant,"Action, Crime, Drama  ",128,2016,73,51,268755
The Jungle Book,"Adventure, Drama, Family  ",106,2016,74,77,262666
Now You See Me 2,"Action, Adventure, Comedy  ",129,2016,65,46,257312
Manchester by the Sea,Drama  ,137,2016,78,96,255198
Finding Dory,"Animation, Adventure, Comedy  ",97,2016,73,77,247599
Nocturnal Animals,"Drama, Thriller  ",116,2016,75,67,246724
Sully,"Biography, Drama  ",96,2016,74,74,245859
Warcraft,"Action, Adventure, Fantasy  ",123,2016,68,32,245468
The Conjuring 2,"Horror, Mystery, Thriller  ",134,2016,73,65,235884
Star Trek Beyond,"Action, Adventure, Sci-Fi  ",122,2016,70,68,232572
Don't Breathe,"Crime, Horror, Thriller  ",88,2016,71,71,230979
Lion,"Biography, Drama  ",118,2016,80,69,220355
Me Before You,"Drama, Romance  ",106,2016,74,51,216605
Jason Bourne,"Action, Thriller  ",123,2016,66,58,212216
Your Name.,"Animation, Drama, Fantasy  ",106,2016,84,79,211253
Hell or High Water,"Action, Crime, Drama  ",102,2016,76,88,209526
Ghostbusters,"Action, Comedy, Fantasy  ",117,2016,66,60,208111
Hidden Figures,"Biography, Drama, History  ",127,2016,78,74,207348
Captain Fantastic,"Comedy, Drama  ",118,2016,79,72,198695
Assassin's Creed,"Action, Adventure, Sci-Fi  ",115,2016,57,36,188939
The Magnificent Seven,"Action, Adventure, Western  ",132,2016,69,54,188873
The Secret Life of Pets,"Animation, Adventure, Comedy  ",87,2016,65,61,186614
War Dogs,"Biography, Comedy, Crime  ",114,2016,71,57,186427
Sausage Party,"Animation, Adventure, Comedy  ",89,2016,61,66,180040
Train to Busan,"Action, Horror, Thriller  ",118,2016,76,72,177248
The Girl on the Train,"Crime, Drama, Mystery  ",112,2016,65,48,174474
The Promise,"Action, Adventure, Drama  ",133,2016,64,49,173809
Independence Day: Resurgence,"Action, Adventure, Sci-Fi  ",120,2016,52,32,169514
Deadpool,"Action, Adventure, Comedy  ",108,2016,80,65,925776
Captain America: Civil War,"Action, Adventure, Sci-Fi  ",147,2016,78,75,687977
Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi  ",152,2016,64,44,652404
Doctor Strange,"Action, Adventure, Fantasy  ",115,2016,75,72,621442
Suicide Squad,"Action, Adventure, Fantasy  ",123,2016,59,40,621203
Arrival,"Drama, Sci-Fi  ",116,2016,79,81,615462
Rogue One: A Star Wars Story,"Action, Adventure, Sci-Fi  ",133,2016,78,65,569311
La La Land,"Comedy, Drama, Music  ",128,2016,80,94,522750
Hacksaw Ridge,"Biography, Drama, History  ",139,2016,81,71,453190
Zootopia,"Animation, Adventure, Comedy  ",108,2016,80,78,446353
Split,"Horror, Thriller  ",117,2016,73,62,441402
Fantastic Beasts and Where to Find Them,"Adventure, Family, Fantasy  ",132,2016,73,66,419996
X-Men: Apocalypse,"Action, Adventure, Sci-Fi  ",144,2016,69,52,402300
Passengers,"Drama, Romance, Sci-Fi  ",116,2016,70,41,360891
10 Cloverfield Lane,"Action, Drama, Horror  ",103,2016,72,76,297775
The Nice Guys,"Action, Comedy, Crime  ",116,2016,74,70,291209
Moana,"Animation, Adventure, Comedy  ",107,2016,76,81,284491
Moonlight,Drama  ,111,2016,74,99,282455
The Accountant,"Action, Crime, Drama  ",128,2016,73,51,268755
The Jungle Book,"Adventure, Drama, Family  ",106,2016,74,77,262666
Now You See Me 2,"Action, Adventure, Comedy  ",129,2016,65,46,257312
Manchester by the Sea,Drama  ,137,2016,78,96,255198
Finding Dory,"Animation, Adventure, Comedy  ",97,2016,73,77,247599
Nocturnal Animals,"Drama, Thriller  ",116,2016,75,67,246724
Sully,"Biography, Drama  ",96,2016,74,74,245859
Warcraft,"Action, Adventure, Fantasy  ",123,2016,68,32,245468
The Conjuring 2,"Horror, Mystery, Thriller  ",134,2016,73,65,235884
Star Trek Beyond,"Action, Adventure, Sci-Fi  ",122,2016,70,68,232572
Don't Breathe,"Crime, Horror, Thriller  ",88,2016,71,71,230979
Lion,"Biography, Drama  ",118,2016,80,69,220355
Me Before You,"Drama, Romance  ",106,2016,74,51,216605
Jason Bourne,"Action, Thriller  ",123,2016,66,58,212216
Your Name.,"Animation, Drama, Fantasy  ",106,2016,84,79,211253
Hell or High Water,"Action, Crime, Drama  ",102,2016,76,88,209526
Ghostbusters,"Action, Comedy, Fantasy  ",117,2016,66,60,208111
Hidden Figures,"Biography, Drama, History  ",127,2016,78,74,207348
Captain Fantastic,"Comedy, Drama  ",118,2016,79,72,198695
Assassin's Creed,"Action, Adventure, Sci-Fi  ",115,2016,57,36,188939
The Magnificent Seven,"Action, Adventure, Western  ",132,2016,69,54,188873
The Secret Life of Pets,"Animation, Adventure, Comedy  ",87,2016,65,61,186614
War Dogs,"Biography, Comedy, Crime  ",114,2016,71,57,186427
Sausage Party,"Animation, Adventure, Comedy  ",89,2016,61,66,180040
Train to Busan,"Action, Horror, Thriller  ",118,2016,76,72,177248
The Girl on the Train,"Crime, Drama, Mystery  ",112,2016,65,48,174474
The Promise,"Action, Adventure, Drama  ",133,2016,64,49,173809
Independence Day: Resurgence,"Action, Adventure, Sci-Fi  ",120,2016,52,32,169514
Deadpool,"Action, Adventure, Comedy  ",108,2016,80,65,925776
Captain America: Civil War,"Action, Adventure, Sci-Fi  ",147,2016,78,75,687977
Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi  ",152,2016,64,44,652404
Doctor Strange,"Action, Adventure, Fantasy  ",115,2016,75,72,621442
Suicide Squad,"Action, Adventure, Fantasy  ",123,2016,59,40,621203
Arrival,"Drama, Sci-Fi  ",116,2016,79,81,615462
Rogue One: A Star Wars Story,"Action, Adventure, Sci-Fi  ",133,2016,78,65,569311
La La Land,"Comedy, Drama, Music  ",128,2016,80,94,522750
Hacksaw Ridge,"Biography, Drama, History  ",139,2016,81,71,453190
Zootopia,"Animation, Adventure, Comedy  ",108,2016,80,78,446353
Split,"Horror, Thriller  ",117,2016,73,62,441402
Fantastic Beasts and Where to Find Them,"Adventure, Family, Fantasy  ",132,2016,73,66,419996
X-Men: Apocalypse,"Action, Adventure, Sci-Fi  ",144,2016,69,52,402300
Passengers,"Drama, Romance, Sci-Fi  ",116,2016,70,41,360891
10 Cloverfield Lane,"Action, Drama, Horror  ",103,2016,72,76,297775
The Nice Guys,"Action, Comedy, Crime  ",116,2016,74,70,291209
Moana,"Animation, Adventure, Comedy  ",107,2016,76,81,284491
Moonlight,Drama  ,111,2016,74,99,282455
The Accountant,"Action, Crime, Drama  ",128,2016,73,51,268755
The Jungle Book,"Adventure, Drama, Family  ",106,2016,74,77,262666
Now You See Me 2,"Action, Adventure, Comedy  ",129,2016,65,46,257312
Manchester by the Sea,Drama  ,137,2016,78,96,255198
Finding Dory,"Animation, Adventure, Comedy  ",97,2016,73,77,247599
Nocturnal Animals,"Drama, Thriller  ",116,2016,75,67,246724
Sully,"Biography, Drama  ",96,2016,74,74,245859
Warcraft,"Action, Adventure, Fantasy  ",123,2016,68,32,245468
The Conjuring 2,"Horror, Mystery, Thriller  ",134,2016,73,65,235884
Star Trek Beyond,"Action, Adventure, Sci-Fi  ",122,2016,70,68,232572
Don't Breathe,"Crime, Horror, Thriller  ",88,2016,71,71,230979
Lion,"Biography, Drama  ",118,2016,80,69,220355
Me Before You,"Drama, Romance  ",106,2016,74,51,216605
Jason Bourne,"Action, Thriller  ",123,2016,66,58,212216
Your Name.,"Animation, Drama, Fantasy  ",106,2016,84,79,211253
Hell or High Water,"Action, Crime, Drama  ",102,2016,76,88,209526
Ghostbusters,"Action, Comedy, Fantasy  ",117,2016,66,60,208111
Hidden Figures,"Biography, Drama, History  ",127,2016,78,74,207348
Captain Fantastic,"Comedy, Drama  ",118,2016,79,72,198695
Assassin's Creed,"Action, Adventure, Sci-Fi  ",115,2016,57,36,188939
The Magnificent Seven,"Action, Adventure, Western  ",132,2016,69,54,188873
The Secret Life of Pets,"Animation, Adventure, Comedy  ",87,2016,65,61,186614
War Dogs,"Biography, Comedy, Crime  ",114,2016,71,57,186427
Sausage Party,"Animation, Adventure, Comedy  ",89,2016,61,66,180040
Train to Busan,"Action, Horror, Thriller  ",118,2016,76,72,177248
The Girl on the Train,"Crime, Drama, Mystery  ",112,2016,65,48,174474
The Promise,"Action, Adventure, Drama  ",133,2016,64,49,173809
Independence Day: Resurgence,"Action, Adventure, Sci-Fi  ",120,2016,52,32,169514
Deadpool,"Action, Adventure, Comedy  ",108,2016,80,65,925776
Captain America: Civil War,"Action, Adventure, Sci-Fi  ",147,2016,78,75,687977
Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi  ",152,2016,64,44,652404
Doctor Strange,"Action, Adventure, Fantasy  ",115,2016,75,72,621442
Suicide Squad,"Action, Adventure, Fantasy  ",123,2016,59,40,621203
Arrival,"Drama, Sci-Fi  ",116,2016,79,81,615462
Rogue One: A Star Wars Story,"Action, Adventure, Sci-Fi  ",133,2016,78,65,569311
La La Land,"Comedy, Drama, Music  ",128,2016,80,94,522750
Hacksaw Ridge,"Biography, Drama, History  ",139,2016,81,71,453190
Zootopia,"Animation, Adventure, Comedy  ",108,2016,80,78,446353
Split,"Horror, Thriller  ",117,2016,73,62,441402
Fantastic Beasts and Where to Find Them,"Adventure, Family, Fantasy  ",132,2016,73,66,419996
X-Men: Apocalypse,"Action, Adventure, Sci-Fi  ",144,2016,69,52,402300
Passengers,"Drama, Romance, Sci-Fi  ",116,2016,70,41,360891
10 Cloverfield Lane,"Action, Drama, Horror  ",103,2016,72,76,297775
The Nice Guys,"Action, Comedy, Crime  ",116,2016,74,70,291209
Moana,"Animation, Adventure, Comedy  ",107,2016,76,81,284491
Moonlight,Drama  ,111,2016,74,99,282455
The Accountant,"Action, Crime, Drama  ",128,2016,73,51,268755
The Jungle Book,"Adventure, Drama, Family  ",106,2016,74,77,262666
Now You See Me 2,"Action, Adventure, Comedy  ",129,2016,65,46,257312
Manchester by the Sea,Drama  ,137,2016,78,96,255198
Finding Dory,"Animation, Adventure, Comedy  ",97,2016,73,77,247599
Nocturnal Animals,"Drama, Thriller  ",116,2016,75,67,246724
Sully,"Biography, Drama  ",96,2016,74,74,245859
Warcraft,"Action, Adventure, Fantasy  ",123,2016,68,32,245468
The Conjuring 2,"Horror, Mystery, Thriller  ",134,2016,73,65,235884
Star Trek Beyond,"Action, Adventure, Sci-Fi  ",122,2016,70,68,232572
Don't Breathe,"Crime, Horror, Thriller  ",88,2016,71,71,230979
Lion,"Biography, Drama  ",118,2016,80,69,220355
Me Before You,"Drama, Romance  ",106,2016,74,51,216605
Jason Bourne,"Action, Thriller  ",123,2016,66,58,212216
Your Name.,"Animation, Drama, Fantasy  ",106,2016,84,79,211253
Hell or High Water,"Action, Crime, Drama  ",102,2016,76,88,209526
Ghostbusters,"Action, Comedy, Fantasy  ",117,2016,66,60,208111
Hidden Figures,"Biography, Drama, History  ",127,2016,78,74,207348
Captain Fantastic,"Comedy, Drama  ",118,2016,79,72,198695
Assassin's Creed,"Action, Adventure, Sci-Fi  ",115,2016,57,36,188939
The Magnificent Seven,"Action, Adventure, Western  ",132,2016,69,54,188873
The Secret Life of Pets,"Animation, Adventure, Comedy  ",87,2016,65,61,186614
War Dogs,"Biography, Comedy, Crime  ",114,2016,71,57,186427
Sausage Party,"Animation, Adventure, Comedy  ",89,2016,61,66,180040
Train to Busan,"Action, Horror, Thriller  ",118,2016,76,72,177248
The Girl on the Train,"Crime, Drama, Mystery  ",112,2016,65,48,174474
The Promise,"Action, Adventure, Drama  ",133,2016,64,49,173809
Independence Day: Resurgence,"Action, Adventure, Sci-Fi  ",120,2016,52,32,169514
